Execution order:
Enter HighPrioTask
Enter Udma_chConfigPdma
Enter tm_task_priority_get
Enter LowPrioTask
Exit LowPrioTask
Enter LowPrioTask
Exit LowPrioTask
Enter LowPrioTask
Exit LowPrioTask
Enter LowPrioTask
Exit LowPrioTask
Enter LowPrioTask
Exit LowPrioTask
Enter LowPrioTask
Exit LowPrioTask
Enter LowPrioTask
Exit LowPrioTask
Enter LowPrioTask
Exit LowPrioTask
Enter LowPrioTask
Exit LowPrioTask
Enter LowPrioTask
Exit LowPrioTask
Enter LowPrioTask
Exit LowPrioTask
Enter LowPrioTask
Exit LowPrioTask
Enter LowPrioTask
Exit LowPrioTask
Enter LowPrioTask
Exit LowPrioTask
Enter LowPrioTask
Exit LowPrioTask
Exit tm_task_priority_get
Exit Udma_chConfigPdma
Enter HwiP_irq_handler
Enter __tx_thread_not_nested_save
Enter HwiP_irq_handler_c
Enter HwiP_getIRQ
Exit HwiP_getIRQ
Enter HwiP_isPulse
Exit HwiP_isPulse
Enter ClockP_timerTickIsr
Enter _tx_timer_interrupt
Enter __tx_timer_no_time_slice
Enter __tx_timer_done
Enter __tx_something_expired
Enter _tx_timer_expiration_process
Enter _tx_thread_interrupt_disable
Exit _tx_thread_interrupt_disable
Enter _tx_thread_interrupt_restore
Exit _tx_thread_interrupt_restore
Enter _tx_thread_interrupt_disable
Exit _tx_thread_interrupt_disable
Enter _tx_thread_interrupt_restore
Exit _tx_thread_interrupt_restore
Enter _tx_thread_timeout
Enter _tx_thread_interrupt_disable
Exit _tx_thread_interrupt_disable
Enter _tx_thread_system_ni_resume
Exit _tx_thread_system_ni_resume
Enter _tx_thread_interrupt_restore
Exit _tx_thread_interrupt_restore
Exit _tx_thread_timeout
Enter _tx_thread_interrupt_disable
Exit _tx_thread_interrupt_disable
Enter _tx_thread_interrupt_restore
Exit _tx_thread_interrupt_restore
Enter __tx_timer_dont_activate
Exit __tx_timer_dont_activate
Exit _tx_timer_expiration_process
Exit __tx_something_expired
Exit __tx_timer_done
Exit __tx_timer_no_time_slice
Exit _tx_timer_interrupt
Enter TimerP_clearOverflowInt
Enter ClockP_timerClearOverflowInt
Exit ClockP_timerClearOverflowInt
Exit TimerP_clearOverflowInt
Exit ClockP_timerTickIsr
Enter HwiP_disable
Exit HwiP_disable
Enter HwiP_clearInt
Exit HwiP_clearInt
Enter __tx_irq_processing_return
Enter __tx_thread_not_nested_restore
Enter __tx_thread_no_preempt_restore
Exit __tx_thread_no_preempt_restore
Exit __tx_thread_not_nested_restore
Exit __tx_irq_processing_return
Exit HwiP_irq_handler_c
Exit __tx_thread_not_nested_save
Exit HwiP_irq_handler

Enter PMU_profileStart
Enter CSL_armR5PmuResetCycleCnt
Enter PMU_resetCounters
Enter CSL_armR5PmuResetCntrs
Exit CSL_armR5PmuResetCntrs
Exit PMU_resetCounters
Exit CSL_armR5PmuResetCycleCnt
Enter CSL_armR5PmuReadCntr
Exit CSL_armR5PmuReadCntr
Enter CSL_armR5PmuReadCntr
Exit CSL_armR5PmuReadCntr
Enter CSL_armR5PmuReadCntr
Exit CSL_armR5PmuReadCntr
Enter CSL_armR5PmuReadCntr
Exit CSL_armR5PmuReadCntr
Exit PMU_profileStart
Enter _tx_thread_interrupt_disable
Enter _tx_mutex_get
Enter _tx_mutex_priority_change         // priority inheritance
Enter _tx_thread_system_ni_suspend
Exit _tx_thread_system_ni_suspend
Enter _tx_thread_system_ni_resume
Exit _tx_thread_system_ni_resume
Exit _tx_mutex_priority_change
Enter _tx_thread_system_ni_suspend
Enter _tx_thread_system_return
Enter __tx_thread_schedule_loop
Enter tm_task_priority_get
Enter LowPrioTask
Enter _tx_mutex_put
Exit _tx_mutex_put
Exit LowPrioTask
Exit tm_task_priority_get
Exit __tx_thread_schedule_loop
Exit _tx_thread_system_return
Exit _tx_thread_system_ni_suspend
Exit _tx_mutex_get
Enter _tx_mutex_put
Enter _tx_mutex_priority_change         // Inheritance reverted
Enter _tx_thread_system_ni_suspend
Exit _tx_thread_system_ni_suspend
Enter _tx_thread_system_ni_resume
Exit _tx_thread_system_ni_resume
Exit _tx_mutex_priority_change
Enter _tx_thread_system_ni_resume
Enter _tx_thread_system_return
Enter __tx_thread_schedule_loop
Enter _tx_solicited_return
Enter _tx_thread_system_ni_suspend
Enter _tx_mutex_get
Enter _tx_thread_interrupt_restore
Exit _tx_thread_interrupt_restore
Enter tm_mutex_get
Exit tm_mutex_get
Exit _tx_mutex_get
Exit _tx_thread_system_ni_suspend
Exit _tx_solicited_return
Exit __tx_thread_schedule_loop
Exit _tx_thread_system_return
Exit _tx_thread_system_ni_resume
Exit _tx_mutex_put
Exit _tx_thread_interrupt_disable
Enter CSL_armR5PmuReadCntr
Enter PMU_profileEnd
Exit PMU_profileEnd
Enter PMU_profileEnd
Exit PMU_profileEnd
Enter PMU_profileEnd
Exit PMU_profileEnd
Enter PMU_profileEnd
Enter strcmp
Exit strcmp
Exit PMU_profileEnd
Exit CSL_armR5PmuReadCntr
Exit HighPrioTask
