Execution order:
Enter tm_thread_locking_benchmark_thread
Enter k_sched_lock
Enter k_sched_unlock
Enter z_sched_init
Enter z_impl_k_yield
Enter z_arm_cortex_r_svc
Enter z_arm_int_exit
Enter __EXIT_INT
Enter z_arm_exc_exit
Enter picolibc_put
Enter __stdout_hook_install
Enter malloc_prepare
Enter sys_heap_init
Enter memset
Exit memset
Exit sys_heap_init
Exit malloc_prepare
Exit __stdout_hook_install
Exit picolibc_put
Exit z_arm_exc_exit
Exit __EXIT_INT
Exit z_arm_int_exit
Exit z_arm_cortex_r_svc
Exit z_impl_k_yield
Exit z_sched_init
Exit k_sched_unlock
Exit k_sched_lock
Enter tm_pmu_profile_start
Exit tm_pmu_profile_start
Enter k_sched_lock
Exit k_sched_lock
Enter k_sched_unlock
Exit k_sched_unlock
Exit tm_thread_locking_benchmark_thread
