Execution order:
Enter tm_isr_message_handler
Enter PMU_profileStart
Enter CSL_armR5PmuResetCycleCnt
Enter PMU_resetCounters
Enter CSL_armR5PmuResetCntrs
Exit CSL_armR5PmuResetCntrs
Exit PMU_resetCounters
Exit CSL_armR5PmuResetCycleCnt
Enter CSL_armR5PmuReadCntr
Exit CSL_armR5PmuReadCntr
Enter CSL_armR5PmuReadCntr
Exit CSL_armR5PmuReadCntr
Enter CSL_armR5PmuReadCntr
Exit CSL_armR5PmuReadCntr
Enter CSL_armR5PmuReadCntr
Exit CSL_armR5PmuReadCntr
Exit PMU_profileStart
Enter xQueueGenericSendFromISR
Enter HwiP_disable
Exit HwiP_disable
Enter prvCopyDataToQueue
Enter __aeabi_memcpy8
Enter _loop
Exit _loop
Exit __aeabi_memcpy8
Exit prvCopyDataToQueue
Enter HwiP_restore
Exit HwiP_restore
Enter tm_queue_send_from_isr
Exit tm_queue_send_from_isr
Exit xQueueGenericSendFromISR
Enter HwiP_irq_handler_c
Enter HwiP_disable
Exit HwiP_disable
Enter HwiP_clearInt
Exit HwiP_clearInt
Enter HwiP_irq_handler
Enter exit_without_switch
Exit exit_without_switch
Exit HwiP_irq_handler
Enter HwiP_getIRQ
Exit HwiP_getIRQ
Enter HwiP_isPulse
Exit HwiP_isPulse
Enter HwiP_enable
Exit HwiP_enable
Enter ClockP_timerTickIsr
Enter vTaskEnterCritical
Enter vPortTimerTickHandler
Enter xTaskIncrementTick
Exit xTaskIncrementTick
Enter vTaskExitCritical
Exit vTaskExitCritical
Exit vPortTimerTickHandler
Exit vTaskEnterCritical
Enter TimerP_clearOverflowInt
Enter ClockP_timerClearOverflowInt
Exit ClockP_timerClearOverflowInt
Exit TimerP_clearOverflowInt
Exit ClockP_timerTickIsr
Enter HwiP_disable
Exit HwiP_disable
Enter HwiP_clearInt
Exit HwiP_clearInt
Enter HwiP_irq_handler
Enter exit_without_switch
Enter Hwip_dataAndInstructionBarrier
Enter HwiP_post
Enter tm_receiver_thread_entry
Enter xQueueReceive
Enter vTaskEnterCritical
Exit vTaskEnterCritical
Enter prvCopyDataFromQueue
Enter __aeabi_memcpy8
Enter _loop
Exit _loop
Exit __aeabi_memcpy8
Exit prvCopyDataFromQueue
Enter vTaskExitCritical
Exit vTaskExitCritical
Enter tm_queue_receive
Exit tm_queue_receive
Exit xQueueReceive
Exit tm_receiver_thread_entry
Exit HwiP_post
Exit Hwip_dataAndInstructionBarrier
Exit exit_without_switch
Exit HwiP_irq_handler
Exit HwiP_irq_handler_c
Exit tm_isr_message_handler
