Execution order:
Enter tm_isr_message_handler
Enter PMU_profileStart
Enter PMU_resetCounters
Enter CSL_armR5PmuResetCycleCnt
Exit CSL_armR5PmuResetCycleCnt
Enter CSL_armR5PmuResetCntrs
Exit CSL_armR5PmuResetCntrs
Exit PMU_resetCounters
Enter CSL_armR5PmuReadCntr
Exit CSL_armR5PmuReadCntr
Enter CSL_armR5PmuReadCntr
Exit CSL_armR5PmuReadCntr
Enter CSL_armR5PmuReadCntr
Exit CSL_armR5PmuReadCntr
Enter CSL_armR5PmuReadCntr
Exit CSL_armR5PmuReadCntr
Exit PMU_profileStart
Enter _tx_queue_send
Enter _tx_thread_interrupt_disable
Exit _tx_thread_interrupt_disable
Enter _tx_thread_interrupt_restore
Exit _tx_thread_interrupt_restore
Enter tm_queue_send_from_isr
Exit tm_queue_send_from_isr
Exit _tx_queue_send
Enter HwiP_irq_handler_c
Enter HwiP_disable
Exit HwiP_disable
Enter HwiP_clearInt
Exit HwiP_clearInt
Enter __tx_irq_processing_return
Enter __tx_thread_not_nested_restore
Enter __tx_thread_no_preempt_restore
Enter HwiP_irq_handler
Enter __tx_thread_not_nested_save
Exit __tx_thread_not_nested_save
Exit HwiP_irq_handler
Exit __tx_thread_no_preempt_restore
Exit __tx_thread_not_nested_restore
Exit __tx_irq_processing_return
Enter HwiP_getIRQ
Exit HwiP_getIRQ
Enter HwiP_isPulse
Exit HwiP_isPulse
Enter ClockP_timerTickIsr
Enter _tx_timer_interrupt
Enter __tx_timer_no_timer
Enter __tx_timer_done
Exit __tx_timer_done
Exit __tx_timer_no_timer
Exit _tx_timer_interrupt
Enter TimerP_clearOverflowInt
Enter ClockP_timerClearOverflowInt
Exit ClockP_timerClearOverflowInt
Exit TimerP_clearOverflowInt
Exit ClockP_timerTickIsr
Enter HwiP_disable
Exit HwiP_disable
Enter HwiP_clearInt
Exit HwiP_clearInt
Enter __tx_irq_processing_return
Enter __tx_thread_not_nested_restore
Enter __tx_thread_no_preempt_restore
Enter HwiP_post
Enter tm_receiver_thread_entry
Enter _tx_queue_receive
Enter _tx_thread_interrupt_disable
Exit _tx_thread_interrupt_disable
Enter _tx_thread_interrupt_restore
Exit _tx_thread_interrupt_restore
Enter tm_queue_receive
Exit tm_queue_receive
Exit _tx_queue_receive
Exit tm_receiver_thread_entry
Exit HwiP_post
Exit __tx_thread_no_preempt_restore
Exit __tx_thread_not_nested_restore
Exit __tx_irq_processing_return
Exit HwiP_irq_handler_c
Exit tm_isr_message_handler
